2025-07-05 22:22:21,528 - INFO - 変換開始: 入力ファイル='plantsch BOMつき.csv', 出力ファイル='202507052222_supabase_plantsch BOMつき.csv'
2025-07-05 22:22:21,577 - INFO - SUPABASE形式変換: 2025/04/21 08:30 → 2025-04-21T08:30:00+09:00
2025-07-05 22:22:21,577 - INFO - SUPABASE形式変換: 2025/04/21 17:00 → 2025-04-21T17:00:00+09:00
2025-07-05 22:22:21,577 - INFO - 開始日時: 2025/04/21 08:30 → 2025-04-21T08:30:00+09:00
2025-07-05 22:22:21,577 - INFO - 終了日時: 2025/04/21 17:00 → 2025-04-21T17:00:00+09:00
2025-07-05 22:22:21,577 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-21T08:30:00+09:00', '2025-04-21T17:00:00+09:00', '×']
2025-07-05 22:22:21,577 - INFO - SUPABASE形式変換: 2025/04/22 08:30 → 2025-04-22T08:30:00+09:00
2025-07-05 22:22:21,577 - INFO - SUPABASE形式変換: 2025/04/22 17:00 → 2025-04-22T17:00:00+09:00
2025-07-05 22:22:21,577 - INFO - 開始日時: 2025/04/22 08:30 → 2025-04-22T08:30:00+09:00
2025-07-05 22:22:21,577 - INFO - 終了日時: 2025/04/22 17:00 → 2025-04-22T17:00:00+09:00
2025-07-05 22:22:21,578 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-22T08:30:00+09:00', '2025-04-22T17:00:00+09:00', '×']
2025-07-05 22:22:21,578 - INFO - SUPABASE形式変換: 2025/04/23 08:30 → 2025-04-23T08:30:00+09:00
2025-07-05 22:22:21,578 - INFO - SUPABASE形式変換: 2025/04/23 17:00 → 2025-04-23T17:00:00+09:00
2025-07-05 22:22:21,578 - INFO - 開始日時: 2025/04/23 08:30 → 2025-04-23T08:30:00+09:00
2025-07-05 22:22:21,578 - INFO - 終了日時: 2025/04/23 17:00 → 2025-04-23T17:00:00+09:00
2025-07-05 22:22:21,578 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-23T08:30:00+09:00', '2025-04-23T17:00:00+09:00', '×']
2025-07-05 22:22:21,578 - INFO - SUPABASE形式変換: 2025/04/24 08:30 → 2025-04-24T08:30:00+09:00
2025-07-05 22:22:21,578 - INFO - SUPABASE形式変換: 2025/04/24 17:00 → 2025-04-24T17:00:00+09:00
2025-07-05 22:22:21,578 - INFO - 開始日時: 2025/04/24 08:30 → 2025-04-24T08:30:00+09:00
2025-07-05 22:22:21,578 - INFO - 終了日時: 2025/04/24 17:00 → 2025-04-24T17:00:00+09:00
2025-07-05 22:22:21,578 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-24T08:30:00+09:00', '2025-04-24T17:00:00+09:00', '×']
2025-07-05 22:22:21,578 - INFO - SUPABASE形式変換: 2025/04/25 09:00 → 2025-04-25T09:00:00+09:00
2025-07-05 22:22:21,579 - INFO - SUPABASE形式変換: 2025/04/25 12:00 → 2025-04-25T12:00:00+09:00
2025-07-05 22:22:21,579 - INFO - 開始日時: 2025/04/25 09:00 → 2025-04-25T09:00:00+09:00
2025-07-05 22:22:21,579 - INFO - 終了日時: 2025/04/25 12:00 → 2025-04-25T12:00:00+09:00
2025-07-05 22:22:21,579 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-25T09:00:00+09:00', '2025-04-25T12:00:00+09:00', '×']
2025-07-05 22:22:21,579 - INFO - SUPABASE形式変換: 2025/04/25 13:00 → 2025-04-25T13:00:00+09:00
2025-07-05 22:22:21,579 - INFO - SUPABASE形式変換: 2025/04/25 17:00 → 2025-04-25T17:00:00+09:00
2025-07-05 22:22:21,579 - INFO - 開始日時: 2025/04/25 13:00 → 2025-04-25T13:00:00+09:00
